"id";"name";"compilation_root";"dlc_root";"console";"original_console";"completion";"ownership";"achievements";"achievement_total";"rating";"multi_rating";"now_playing";"note";"multi_note";"review";"multi_comp_local";"multi_coop_local";"multi_comp_LAN";"multi_coop_LAN";"multi_comp_online";"multi_coop_online"
253;"Fluidity";0;0;12;0;3;0;0;0;4;0;0;"";"";"";1;1;0;0;0;0
254;"Mega Man 10";0;0;12;0;3;0;0;0;5;0;0;"";"";"";1;1;0;0;0;0
255;"Mega Man 9";0;0;12;0;3;0;0;0;5;0;0;"";"";"";1;1;0;0;0;0
256;"Pokémon Rumble";0;0;12;0;2;0;0;0;2;0;0;"";"";"";1;4;0;0;0;0
257;"WarioWare: D.I.Y. Showcase";0;0;12;0;4;0;0;0;4;0;0;"";"";"";4;1;0;0;0;0
258;"World of Goo";0;0;12;0;3;0;0;0;5;0;0;"";"";"";1;2;0;0;0;0
259;"Actraiser";0;0;13;20;4;0;0;0;4;0;0;"";"";"";1;1;0;0;0;0
260;"Battle Lode Runner";0;0;13;57;0;0;0;0;2;0;0;"";"";"";5;1;0;0;0;0
261;"F-Zero X";0;0;13;18;3;0;0;0;4;0;0;"";"";"";4;1;0;0;0;0
262;"Kirby 64: The Crystal Shards";0;0;13;18;4;0;0;0;5;0;0;"";"";"";4;1;0;0;0;0
263;"Kirby's Adventure";0;0;13;21;3;0;0;0;2;0;0;"";"";"";1;1;0;0;0;0
264;"The Legend of Zelda: Majora's Mask";0;0;13;18;3;0;0;0;5;0;0;"";"";"";1;1;0;0;0;0
265;"Mario Kart 64";0;0;13;18;3;0;0;0;4;0;0;"";"";"";4;2;0;0;0;0
266;"Mario Tennis";0;0;13;18;3;0;0;0;4;0;0;"";"";"";4;2;0;0;0;0
267;"Mega Man 2";0;0;13;21;4;0;0;0;4;0;0;"";"";"";1;1;0;0;0;0
268;"Paper Mario";0;0;13;18;3;0;0;0;5;0;0;"";"";"";1;1;0;0;0;0
269;"Punch-Out!!: Featuring Mr. Dream";0;0;13;21;2;0;0;0;4;0;0;"";"";"";1;1;0;0;0;0
270;"Star Fox 64";0;0;13;18;3;0;0;0;5;0;0;"";"";"";4;1;0;0;0;0
271;"Super Castlevania IV";0;0;13;20;4;0;0;0;3;0;0;"";"";"";1;1;0;0;0;0
272;"Super Mario Kart";0;0;13;20;3;0;0;0;2;0;0;"";"";"";2;2;0;0;0;0
273;"Super Mario RPG: Legend of the Seven Stars";0;0;13;20;3;0;0;0;3;0;0;"";"";"";1;1;0;0;0;0
274;"Super Punch-Out!!";0;0;13;20;2;0;0;0;4;0;0;"";"";"";1;1;0;0;0;0
275;"Fuzion Frenzy";0;0;14;0;0;0;0;0;3;0;0;"";"";"";4;1;0;0;0;0
276;"Godzilla: Save the Earth";0;0;14;0;3;0;0;0;3;0;0;"";"";"";4;1;0;0;0;0
277;"Halo 2";0;0;14;0;3;0;0;0;4;0;0;"";"Optional Multiplayer Map Pack Disc";"";4;2;8;0;0;0
278;"Halo: Combat Evolved";0;0;14;0;3;0;0;0;4;0;0;"";"";"";4;2;8;0;0;0
279;"Mortal Kombat: Armageddon";0;0;14;0;3;0;0;0;3;0;0;"";"";"";2;1;0;0;0;0
280;"Mortal Kombat: Deception";0;0;14;0;3;0;0;0;3;0;0;"";"";"";2;1;0;0;0;0
281;"Mortal Kombat";280;0;14;56;3;0;0;0;2;0;0;"";"";"";2;1;0;0;0;0
282;"SSX 3";0;0;14;0;3;0;0;0;3;0;0;"";"";"";2;1;0;0;0;0
283;"Mega Man X7";0;0;15;0;3;0;0;0;2;0;0;"";"";"";1;1;0;0;0;0
284;"Mega Man X8";0;0;15;0;3;0;0;0;3;0;0;"";"";"";1;1;0;0;0;0
285;"Mortal Kombat: Shaolin Monks";0;0;15;0;3;0;0;0;3;0;0;"";"";"";1;2;0;0;0;0
286;"Animal Crossing";0;0;16;0;0;0;0;0;4;0;0;"";"";"";1;1;0;0;0;0
287;"Beach Spikers: Virtua Beach Volleyball";0;0;16;0;0;0;0;0;3;0;0;"";"";"";4;2;0;0;0;0
288;"Chibi-Robo!";0;0;16;0;4;0;0;0;4;0;0;"";"";"";1;1;0;0;0;0
289;"F-Zero GX";0;0;16;0;3;0;0;0;5;0;0;"";"";"";4;1;0;0;0;0
290;"Final Fantasy: Crystal Chronicles";0;0;16;0;2;0;0;0;0;0;0;"";"With 4 GBAs/Cables";"";1;4;0;0;0;0
291;"Godzilla: Destroy All Monsters Melee";0;0;16;0;3;0;0;0;4;0;0;"";"";"";4;1;0;0;0;0
292;"Harvest Moon: A Wonderful Life";0;0;16;0;0;0;0;0;2;0;0;"";"";"";1;1;0;0;0;0
293;"Kirby Air Ride";0;0;16;0;0;0;0;0;5;0;0;"";"";"";4;1;0;0;0;0
294;"The Legend of Zelda: Collector's Edition";-1;0;16;0;0;0;0;0;0;0;0;"";"";"";0;0;0;0;0;0
295;"The Legend of Zelda";294;0;16;21;3;0;0;0;3;0;0;"";"";"";1;1;0;0;0;0
296;"The Legend of Zelda: Majora's Mask";294;0;16;18;3;0;0;0;5;0;0;"";"";"";1;1;0;0;0;0
297;"The Legend of Zelda: Ocarina of Time";294;0;16;18;3;0;0;0;5;0;0;"";"";"";1;1;0;0;0;0
298;"Zelda II: The Adventure of Link";294;0;16;21;4;0;0;0;3;0;0;"";"";"";1;1;0;0;0;0
299;"The Legend of Zelda: Four Swords Adventures";0;0;16;0;2;0;0;0;0;0;0;"";"With 4 GBAs/Cables";"";4;4;0;0;0;0
300;"The Legend of Zelda: The Wind Waker";0;0;16;0;3;0;0;0;5;0;0;"";"";"";1;2;0;0;0;0
301;"Luigi's Mansion";0;0;16;0;4;0;0;0;5;0;0;"";"";"";1;1;0;0;0;0
302;"Mario Kart: Double Dash!!";0;0;16;0;4;0;0;0;4;0;0;"";"";"";4;2;0;0;0;0
303;"Mario Party 4";0;0;16;0;3;0;0;0;3;0;0;"";"";"";4;1;0;0;0;0
304;"Mario Party 5";0;0;16;0;3;0;0;0;4;0;0;"";"";"";4;1;0;0;0;0
305;"Mario Party 6";0;0;16;0;3;0;0;0;5;0;0;"";"Optional GameCube Microphone";"";4;1;0;0;0;0
306;"Mario Party 7";0;0;16;0;3;0;0;0;3;0;0;"";"Optional GameCube Microphone";"";8;1;0;0;0;0
307;"Mario Power Tennis";0;0;16;0;3;0;0;0;4;0;0;"";"";"";4;2;0;0;0;0
308;"Mario Superstar Baseball";0;0;16;0;3;0;0;0;4;0;0;"";"";"";4;1;0;0;0;0
309;"Mega Man Anniversary Collection";-1;0;16;0;0;0;0;0;0;0;0;"";"";"";0;0;0;0;0;0
310;"Mega Man";309;0;16;21;4;0;0;0;3;0;0;"";"";"";1;1;0;0;0;0
311;"Mega Man 2";309;0;16;21;4;0;0;0;4;0;0;"";"";"";1;1;0;0;0;0
312;"Mega Man 3";309;0;16;21;4;0;0;0;4;0;0;"";"";"";1;1;0;0;0;0
313;"Mega Man 4";309;0;16;21;4;0;0;0;4;0;0;"";"";"";1;1;0;0;0;0
314;"Mega Man 5";309;0;16;21;4;0;0;0;4;0;0;"";"";"";1;1;0;0;0;0
315;"Mega Man 6";309;0;16;21;4;0;0;0;4;0;0;"";"";"";1;1;0;0;0;0
316;"Mega Man 7";309;0;16;20;4;0;0;0;5;0;0;"";"";"";1;1;0;0;0;0
317;"Mega Man 8";309;0;16;17;4;0;0;0;3;0;0;"";"";"";1;1;0;0;0;0
318;"Mega Man: The Power Battle";309;0;16;56;4;0;0;0;3;0;0;"";"";"";1;2;0;0;0;0
319;"Mega Man: The Power Fighters";309;0;16;56;4;0;0;0;3;0;0;"";"";"";1;2;0;0;0;0
320;"Mega Man X Collection";-1;0;16;0;0;0;0;0;0;0;0;"";"";"";0;0;0;0;0;0
321;"Mega Man X";320;0;16;20;4;0;0;0;5;0;0;"";"";"";1;1;0;0;0;0
322;"Mega Man X2";320;0;16;20;4;0;0;0;5;0;0;"";"";"";1;1;0;0;0;0
323;"Mega Man X3";320;0;16;20;4;0;0;0;5;0;0;"";"";"";1;1;0;0;0;0
324;"Mega Man X4";320;0;16;17;3;0;0;0;4;0;0;"";"";"";1;1;0;0;0;0
325;"Mega Man X5";320;0;16;17;3;0;0;0;2;0;0;"";"";"";1;1;0;0;0;0
326;"Mega Man X6";320;0;16;17;3;0;0;0;1;0;0;"";"";"";1;1;0;0;0;0
327;"Mega Man: Battle & Chase";320;0;16;17;3;0;0;0;4;0;0;"";"";"";2;1;0;0;0;0
328;"Metroid Prime";0;0;16;0;3;0;0;0;5;0;0;"";"";"";1;1;0;0;0;0
329;"Metroid";328;0;16;21;3;0;0;0;3;0;0;"";"";"";1;1;0;0;0;0
330;"Metroid Prime 2: Echoes";0;0;16;0;3;0;0;0;5;0;0;"";"";"";4;1;0;0;0;0
331;"Mortal Kombat: Deadly Alliance";0;0;16;0;3;0;0;0;3;0;0;"";"";"";2;1;0;0;0;0
332;"Odama";0;0;16;0;4;0;0;0;4;0;0;"";"";"";1;1;0;0;0;0
333;"Pac-Man World 2";0;0;16;0;3;0;0;0;3;0;0;"";"";"";1;1;0;0;0;0
334;"Pac-Attack";333;0;16;19;0;0;0;0;2;0;0;"";"";"";2;1;0;0;0;0
335;"Pac-Man";333;0;16;56;0;0;0;0;3;0;0;"";"";"";1;1;0;0;0;0
336;"Pac-Man Vs.";0;0;16;0;0;0;0;0;5;0;0;"";"With 1 GBA/Cable";"";4;1;0;0;0;0
337;"Pikmin";0;0;16;0;4;0;0;0;5;0;0;"";"";"";1;1;0;0;0;0
338;"Pikmin 2";0;0;16;0;4;0;0;0;5;0;0;"";"";"";2;2;0;0;0;0
339;"Rampage: Total Destruction";0;0;16;0;3;0;0;0;3;0;0;"";"";"";4;2;0;0;0;0
340;"Rampage";339;0;16;56;0;0;0;0;3;0;0;"";"";"";1;3;0;0;0;0
341;"Rampage: World Tour";339;0;16;56;3;0;0;0;5;0;0;"";"";"";1;3;0;0;0;0
342;"Shadow the Hedgehog";0;0;16;0;3;0;0;0;3;0;0;"";"";"";2;1;0;0;0;0
343;"Sonic Adventure 2: Battle";0;0;16;0;3;0;0;0;4;0;0;"";"";"";2;1;0;0;0;0
344;"Sonic Gems Collection";-1;0;16;0;0;0;0;0;0;0;0;"";"";"";0;0;0;0;0;0
345;"Sonic CD";344;0;16;58;3;0;0;0;2;0;0;"";"";"";1;1;0;0;0;0
346;"Sonic Drift 2";344;0;16;60;2;0;0;0;2;0;0;"";"";"";2;1;0;0;0;0
347;"Sonic R";344;0;16;59;4;0;0;0;2;0;0;"";"";"";4;1;0;0;0;0
348;"Sonic Spinball";344;0;16;60;2;0;0;0;1;0;0;"";"";"";1;1;0;0;0;0
349;"Sonic the Fighters";344;0;16;56;4;0;0;0;2;0;0;"";"";"";2;1;0;0;0;0
350;"Sonic the Hedgehog 2 (8-bit)";344;0;16;60;2;0;0;0;2;0;0;"";"";"";1;1;0;0;0;0
351;"Sonic the Hedgehog: Triple Trouble";344;0;16;60;2;0;0;0;2;0;0;"";"";"";1;1;0;0;0;0
352;"Tails Adventures";344;0;16;60;2;0;0;0;2;0;0;"";"";"";1;1;0;0;0;0
353;"Tails' Skypatrol";344;0;16;60;2;0;0;0;1;0;0;"";"";"";1;1;0;0;0;0
354;"Vectorman";344;0;16;19;1;0;0;0;0;0;0;"";"";"";1;1;0;0;0;0
355;"Vectorman 2";344;0;16;19;1;0;0;0;0;0;0;"";"";"";1;1;0;0;0;0
356;"Spyro: Enter the Dragonfly";0;0;16;0;4;0;0;0;2;0;0;"";"";"";1;1;0;0;0;0
357;"Star Fox: Assault";0;0;16;0;3;0;0;0;4;0;0;"";"";"";4;1;0;0;0;0
358;"Super Mario Strikers";0;0;16;0;3;0;0;0;4;0;0;"";"";"";4;4;0;0;0;0
359;"Super Mario Sunshine";0;0;16;0;4;0;0;0;5;0;0;"";"";"";1;1;0;0;0;0
360;"Super Monkey Ball 2";0;0;16;0;3;0;0;0;4;0;0;"";"";"";4;1;0;0;0;0
361;"Super Smash Bros. Melee";0;0;16;0;3;0;0;0;5;0;0;"";"";"";4;1;0;0;0;0
362;"WarioWare, Inc.: Mega Party Game$!";0;0;16;0;3;0;0;0;4;0;0;"";"";"";4;1;0;0;0;0
363;"Crash Bandicoot";0;0;17;0;3;0;0;0;3;0;0;"";"";"";1;1;0;0;0;0
364;"Crash Bash";0;0;17;0;3;0;0;0;4;0;0;"";"";"";4;2;0;0;0;0
365;"Frogger (1997)";0;0;17;0;1;0;0;0;0;0;0;"";"";"";4;1;0;0;0;0
366;"Frogger 2: Swampy's Revenge";0;0;17;0;1;0;0;0;0;0;0;"";"";"";4;1;0;0;0;0
367;"International Track & Field";0;0;17;0;1;0;0;0;0;0;0;"";"";"";4;1;0;0;0;0
368;"Micro Machines V3";0;0;17;0;1;0;0;0;0;0;0;"";"";"";8;1;0;0;0;0
369;"Pong: The Next Level";0;0;17;0;2;0;0;0;0;0;0;"";"";"";4;1;0;0;0;0
370;"Banjo-Kazooie";0;0;18;0;4;0;0;0;5;0;0;"";"";"";1;1;0;0;0;0
371;"Banjo-Tooie";0;0;18;0;4;0;0;0;5;0;0;"";"";"";4;1;0;0;0;0
372;"Bomberman 64";0;0;18;0;1;0;0;0;0;0;0;"";"";"";4;1;0;0;0;0
373;"Diddy Kong Racing";0;0;18;0;3;0;0;0;5;0;0;"";"";"";4;1;0;0;0;0
374;"Donkey Kong 64";0;0;18;0;3;0;0;0;4;0;0;"";"";"";4;1;0;0;0;0
375;"Excitebike 64";0;0;18;0;3;0;0;0;5;0;0;"";"";"";4;1;0;0;0;0
376;"Excitebike";375;0;18;21;0;0;0;0;2;0;0;"";"";"";1;1;0;0;0;0
377;"F-Zero X";0;0;18;0;3;0;0;0;4;0;0;"";"";"";4;1;0;0;0;0
378;"Goldeneye 007";0;0;18;0;4;0;0;0;5;0;0;"";"";"";4;1;0;0;0;0
379;"The Legend of Zelda: Ocarina of Time";0;0;18;0;3;0;0;0;5;0;0;"";"";"";1;1;0;0;0;0
380;"Mario Golf";0;0;18;0;0;0;0;0;3;0;0;"";"";"";4;1;0;0;0;0
381;"Mario Kart 64";0;0;18;0;3;0;0;0;4;0;0;"";"";"";4;2;0;0;0;0
382;"Mario Party";0;0;18;0;3;0;0;0;4;0;0;"";"";"";4;1;0;0;0;0
383;"Mario Party 2";0;0;18;0;3;0;0;0;4;0;0;"";"";"";4;1;0;0;0;0
384;"Mario Party 3";0;0;18;0;3;0;0;0;5;0;0;"";"";"";4;1;0;0;0;0
385;"Mario Tennis";0;0;18;0;3;0;0;0;4;0;0;"";"";"";4;2;0;0;0;0
386;"Perfect Dark";0;0;18;0;3;0;0;0;5;0;0;"";"";"";4;2;0;0;0;0
387;"Pokémon Snap";0;0;18;0;4;0;0;0;5;0;0;"";"";"";1;1;0;0;0;0
388;"Pokémon Stadium";0;0;18;0;2;0;0;0;4;0;0;"";"";"";4;1;0;0;0;0
389;"Pokémon Stadium 2";0;0;18;0;2;0;0;0;4;0;0;"";"";"";4;1;0;0;0;0
390;"Snowboard Kids 2";0;0;18;0;3;0;0;0;4;0;0;"";"";"";4;1;0;0;0;0
391;"Super Smash Bros.";0;0;18;0;4;0;0;0;5;0;0;"";"";"";4;1;0;0;0;0
392;"WWF: No Mercy";0;0;18;0;1;0;0;0;0;0;0;"";"";"";4;1;0;0;0;0
393;"Yoshi's Story";0;0;18;0;3;0;0;0;3;0;0;"";"";"";1;1;0;0;0;0
394;"Contra III: The Alien Wars";0;0;20;0;3;0;0;0;5;0;0;"";"";"";1;2;0;0;0;0
395;"Donkey Kong Country";0;0;20;0;3;0;0;0;5;0;0;"";"";"";1;2;0;0;0;0
396;"Donkey Kong Country 2: Diddy's Kong Quest";0;0;20;0;3;0;0;0;5;0;0;"";"";"";1;2;0;0;0;0
397;"Donkey Kong Country 3: Dixie's Double Trouble";0;0;20;0;3;0;0;0;5;0;0;"";"";"";1;2;0;0;0;0
398;"F-Zero";0;0;20;0;3;0;0;0;3;0;0;"";"";"";2;1;0;0;0;0
399;"Kirby Super Star";0;0;20;0;3;0;0;0;5;0;0;"";"";"";1;2;0;0;0;0
400;"Mario Paint";0;0;20;0;0;0;0;0;0;0;0;"";"";"";1;1;0;0;0;0
401;"Super Mario World";0;0;20;0;4;0;0;0;5;0;0;"";"";"";1;2;0;0;0;0
402;"Super Metroid";0;0;20;0;3;0;0;0;5;0;0;"";"";"";1;1;0;0;0;0
403;"Wheel of Fortune: Deluxe Edition";0;0;20;0;0;0;0;0;1;0;0;"";"";"";2;1;0;0;0;0
404;"Boogerman";0;0;19;0;2;0;0;0;2;0;0;"";"";"";1;1;0;0;0;0
405;"Cool Spot";0;0;19;0;2;0;0;0;2;0;0;"";"";"";1;1;0;0;0;0
406;"Dr. Robotnik's Mean Bean Machine";0;0;19;0;2;0;0;0;3;0;0;"";"";"";2;1;0;0;0;0
407;"LHX Attack Chopper";0;0;19;0;0;0;0;0;1;0;0;"";"";"";1;1;0;0;0;0
408;"Marko";0;0;19;0;2;0;0;0;2;0;0;"";"";"";1;1;0;0;0;0
409;"Micro Machines";0;0;19;0;2;0;0;0;3;0;0;"";"";"";2;1;0;0;0;0
410;"Ms. Pac-Man";0;0;19;0;0;0;0;0;3;0;0;"";"";"";2;2;0;0;0;0
411;"Sonic the Hedgehog 2";0;0;19;0;3;0;0;0;4;0;0;"";"";"";2;2;0;0;0;0
412;"TaleSpin";0;0;19;0;2;0;0;0;2;0;0;"";"";"";1;2;0;0;0;0
413;"WWF: Royal Rumble";0;0;19;0;2;0;0;0;2;0;0;"";"";"";2;2;0;0;0;0
414;"Captain Skyhawk";0;0;21;0;4;0;0;0;3;0;0;"";"";"";1;1;0;0;0;0
415;"Donkey Kong Jr.";0;0;21;0;4;0;0;0;2;0;0;"";"";"";1;1;0;0;0;0
416;"Faxanadu";0;0;21;0;3;0;0;0;3;0;0;"";"";"";1;1;0;0;0;0
417;"Metroid";0;0;21;0;3;0;0;0;3;0;0;"";"";"";1;1;0;0;0;0
418;"Solar Jetman";0;0;21;0;2;0;0;0;2;0;0;"";"";"";1;1;0;0;0;0
419;"Super Mario Bros. 2";0;0;21;0;2;0;0;0;2;0;0;"";"";"";1;2;0;0;0;0
420;"Super Mario Bros. 3";0;0;21;0;4;0;0;0;4;0;0;"";"";"";1;2;0;0;0;0
421;"Super Mario Bros./Duck Hunt";-1;0;21;0;0;0;0;0;0;0;0;"";"";"";0;0;0;0;0;0
422;"Super Mario Bros.";421;0;21;0;3;0;0;0;2;0;0;"";"";"";1;2;0;0;0;0
423;"Duck Hunt";421;0;21;0;0;0;0;0;2;0;0;"";"";"";2;1;0;0;0;0
424;"Teenage Mutant Ninja Turtles";0;0;21;0;2;0;0;0;2;0;0;"";"";"";1;2;0;0;0;0
425;"To the Earth";0;0;21;0;2;0;0;0;1;0;0;"";"";"";1;1;0;0;0;0
426;"Yoshi's Cookie";0;0;21;0;0;0;0;0;1;0;0;"";"";"";2;1;0;0;0;0
427;"Cooking Mama 4: Kitchen Magic";0;0;40;0;0;0;0;0;3;0;0;"";"";"";4;1;0;0;0;0
428;"Fire Emblem Awakening";0;0;40;0;1;0;0;0;0;0;0;"";"";"";1;1;0;2;0;0
429;"Kid Icarus: Uprising";0;0;40;0;3;0;0;0;4;0;0;"";"";"";1;1;6;0;0;0
430;"The Legend of Zelda: Tri Force Heroes";0;0;40;0;2;0;0;0;0;0;0;"";"Limited Download Play";"";1;3;3;3;0;0
431;"Luigi's Mansion: Dark Moon";0;0;40;0;3;0;0;0;5;0;0;"";"";"";1;4;0;4;0;0
432;"Mario & Sonic at the London 2012 Olympic Games";0;0;40;0;3;0;0;0;4;0;0;"";"Limited Download Play";"";4;1;4;0;0;0
433;"Mario Kart 7";0;0;40;0;3;0;0;0;4;0;0;"";"Limited Download Play";"";8;1;8;0;0;0
434;"Mario Party: Island Tour";0;0;40;0;3;0;0;0;5;0;0;"";"";"";4;1;0;0;0;0
435;"Mario Party: Star Rush";0;0;40;0;3;0;0;0;4;0;0;"";"Limited Download Play/Free to Download Guest Edition";"";4;1;4;0;0;0
436;"New Super Mario Bros. 2";0;0;40;0;3;0;0;0;5;0;0;"";"";"";1;1;0;2;0;0
437;"Paper Mario: Sticker Star";0;0;40;0;4;0;0;0;3;0;0;"";"";"";1;1;0;0;0;0
438;"Professor Layton and the Azran Legacy";0;0;40;0;4;1;0;0;4;0;0;"";"";"";1;1;0;0;0;0
439;"Professor Layton and the Miracle Mask";0;0;40;0;4;1;0;0;5;0;1;"";"";"";1;1;0;0;0;0
440;"Professor Layton vs. Phoenix Wright: Ace Attorney";0;0;40;0;4;1;0;0;5;0;0;"";"";"";1;1;0;0;0;0
441;"Scribblenauts Unlimited";0;0;40;0;4;0;0;0;4;0;0;"";"";"";1;1;0;0;0;0
442;"Sega 3D Classics Collection";-1;0;40;0;0;0;0;0;0;0;0;"";"";"";0;0;0;0;0;0
443;"Altered Beast";442;0;40;19;3;0;0;0;1;0;0;"";"";"";1;1;0;2;0;0
444;"Fantasy Zone";442;0;40;61;2;0;0;0;1;0;0;"";"";"";1;1;0;0;0;0
445;"Fantasy Zone II W";442;0;40;56;3;0;0;0;2;0;0;"";"";"";1;1;0;0;0;0
446;"Fantasy Zone II: The Tears of Opa-Opa";442;0;40;61;2;0;0;0;1;0;0;"";"";"";1;1;0;0;0;0
447;"Galaxy Force II";442;0;40;56;3;0;0;0;2;0;0;"";"";"";1;1;0;0;0;0
448;"Maze Walker";442;0;40;61;2;0;0;0;1;0;0;"";"";"";1;1;0;0;0;0
449;"Power Drift";442;0;40;56;3;0;0;0;2;0;0;"";"";"";1;1;0;0;0;0
450;"Puyo Puyo 2";442;0;40;56;2;0;0;0;3;0;0;"";"";"";1;1;2;0;0;0
451;"Sonic the Hedgehog";442;0;40;19;3;0;0;0;3;0;0;"";"";"";1;1;0;0;0;0
452;"Thunder Blade";442;0;40;56;3;0;0;0;1;0;0;"";"";"";1;1;0;0;0;0
453;"Sonic Generations";0;0;40;0;3;0;0;0;4;0;0;"";"";"";1;1;2;0;0;0
454;"Sonic Lost World";0;0;40;0;3;0;0;0;3;0;0;"";"Limited Download Play";"";4;1;4;0;0;0
455;"Star Fox 64 3D";0;0;40;0;4;0;0;0;5;0;0;"";"";"";4;1;0;0;0;0
456;"Steel Diver";0;0;40;0;3;0;0;0;3;0;0;"";"";"";2;1;0;0;0;0
457;"Super Mario 3D Land";0;0;40;0;4;0;0;0;5;0;0;"";"";"";1;1;0;0;0;0
458;"Super Smash Bros. for Nintendo 3DS";0;0;40;0;3;0;0;0;5;0;0;"";"";"";1;1;4;2;0;0
459;"Super Street Fighter IV: 3D Edition";0;0;40;0;3;0;0;0;4;0;0;"";"Limited Download Play";"";2;1;2;0;0;0
460;"Tetris: Axis";0;0;40;0;0;0;0;0;3;0;0;"";"";"";8;1;0;0;0;0
461;"Zero Escape: Virtue's Last Reward";0;0;40;0;4;0;0;0;3;0;0;"";"";"";1;1;0;0;0;0
462;"3D Sonic the Hedgehog 2";0;0;23;19;3;0;0;0;4;0;0;"";"";"";1;1;2;2;0;0
463;"Ace Attorney: Phoenix Wright: Dual Destinies";0;0;23;0;4;0;0;0;5;0;0;"";"";"";1;1;0;0;0;0
464;"Turnabout Reclaimed";0;463;23;0;4;0;0;0;4;0;0;"";"";"";1;1;0;0;0;0
465;"Ace Attorney: Phoenix Wright: Spirit of Justice";0;0;23;0;4;0;0;0;5;0;0;"";"";"";1;1;0;0;0;0
466;"Turnabout Time Traveler";0;465;23;0;4;0;0;0;4;0;0;"";"";"";1;1;0;0;0;0
467;"Cave Story";0;0;23;0;2;0;0;0;4;0;0;"";"";"";1;1;0;0;0;0
468;"Gunman Clive";0;0;23;0;4;0;0;0;3;0;0;"";"";"";1;1;0;0;0;0
469;"Kersploosh!";0;0;23;0;4;0;0;0;3;0;0;"";"";"";1;1;0;0;0;0
470;"Kid Icarus: 3D Classics";0;0;23;21;4;0;0;0;3;0;0;"";"";"";1;1;0;0;0;0
471;"Kirby Fighters Deluxe";0;0;23;0;4;0;0;0;4;0;1;"";"Limited Download Play";"";4;1;4;0;0;0
472;"Kirby's Adventure: 3D Classics";0;0;23;21;3;0;0;0;2;0;0;"";"";"";1;1;0;0;0;0
473;"Mario and Donkey Kong: Minis on the Move";0;0;23;0;3;0;0;0;4;0;0;"";"";"";1;1;0;0;0;0
474;"Metroid Prime: Blast Ball";0;0;23;0;0;0;0;0;3;0;0;"";"Free to Download";"";6;1;6;0;0;0
475;"Mini Mario & Friends: amiibo Challenge";0;0;23;0;3;0;0;0;3;0;0;"";"";"";1;1;0;0;0;0
476;"Retro City Rampage DX";0;0;23;0;3;0;0;0;4;0;0;"";"";"";1;1;0;0;0;0
477;"Rhythm Heaven Megamix";0;0;23;0;2;0;0;0;0;0;1;"";"";"";1;1;0;0;0;0
478;"Rusty's Real Deal Baseball";0;0;23;0;3;0;0;0;5;0;0;"";"";"";4;1;0;0;0;0
479;"Shantae and the Pirate's Curse";0;0;23;0;3;0;0;0;5;0;0;"";"";"";1;1;0;0;0;0
480;"SteamWorld Dig";0;0;23;0;4;0;0;0;5;0;0;"";"";"";1;1;0;0;0;0
481;"Steel Diver: Sub Wars";0;0;23;0;3;0;0;0;4;0;0;"";"Free to Download";"";8;1;8;0;0;0
482;"VVVVVV";0;0;22;34;3;0;0;0;4;0;0;"";"";"";1;1;0;0;0;0
483;"Donkey Kong (1994)";0;0;24;31;4;0;0;0;4;0;0;"";"";"";1;1;0;0;0;0
484;"The Legend of Zelda";0;0;24;21;3;0;0;0;3;0;0;"";"";"";1;1;0;0;0;0
485;"The Legend of Zelda: Link's Awakening DX";0;0;24;30;3;0;0;0;4;0;0;"";"";"";1;1;0;0;0;0
486;"Super Mario Land";0;0;24;31;4;0;0;0;2;0;0;"";"";"";1;1;0;0;0;0
487;"Super Mario Land 2: 6 Golden Coins";0;0;24;31;4;0;0;0;3;0;0;"";"";"";1;1;0;0;0;0
488;"Wario Land 3";0;0;24;30;4;0;0;0;4;0;0;"";"";"";1;1;0;0;0;0
489;"Wario Land II";0;0;24;30;3;0;0;0;3;0;0;"";"";"";1;1;0;0;0;0
490;"Wario Land: Super Mario Land 3";0;0;24;31;3;0;0;0;3;0;0;"";"";"";1;1;0;0;0;0
491;"Zelda II: The Adventure of Link";0;0;24;21;4;0;0;0;3;0;0;"";"";"";1;1;0;0;0;0
492;"The Legend of Zelda: Four Swords: Anniversary Edition";0;0;25;29;3;0;0;0;4;0;0;"";"";"";1;1;0;4;0;0
493;"Pop Island: Paperfield";0;0;25;0;0;0;0;0;2;0;0;"";"";"";8;1;8;0;0;0
494;"WarioWare: Snapped";0;0;25;0;1;0;0;0;2;0;0;"";"Single DS Play";"";1;2;0;0;0;0
495;"Killzone: Liberation";0;0;27;0;0;0;0;0;0;0;0;"";"";"";1;1;0;0;0;0
496;"LittleBigPlanet";0;0;27;0;0;0;0;0;0;0;0;"";"";"";1;1;0;0;0;0
497;"999: Nine Hours, Nine Persons, Nine Doors";0;0;28;0;4;0;0;0;5;0;0;"";"";"";1;1;0;0;0;0
498;"Ace Attorney Investigations: Miles Edgeworth";0;0;28;0;4;0;0;0;5;0;0;"";"";"";1;1;0;0;0;0
499;"Ace Attorney: Apollo Justice";0;0;28;0;4;0;0;0;5;0;0;"";"";"";1;1;0;0;0;0
500;"Ace Attorney: Phoenix Wright";0;0;28;0;4;0;0;0;5;0;0;"";"";"";1;1;0;0;0;0
501;"Ace Attorney: Phoenix Wright: Justice for All";0;0;28;0;4;0;0;0;4;0;0;"";"";"";1;1;0;0;0;0
502;"Ace Attorney: Phoenix Wright: Trials and Tribulations";0;0;28;0;4;0;0;0;5;0;0;"";"";"";1;1;0;0;0;0
